sample,time,code,chan
1372,0.669921875,20,-1
1577,0.77001953125,22,-1
2411,1.17724609375,200,-1
4860,2.373046875,1,-1
6372,3.111328125,57,-1
8034,3.9228515625,10,-1
8237,4.02197265625,12,-1
8995,4.39208984375,200,-1
10922,5.3330078125,1,-1
12438,6.0732421875,57,-1
14098,6.8837890625,20,-1
14303,6.98388671875,22,-1
15069,7.35791015625,200,-1
17131,8.36474609375,1,-1
18647,9.10498046875,57,-1
20307,9.91552734375,10,-1
20512,10.015625,11,-1
21249,10.37548828125,100,-1
23341,11.39697265625,1,-1
24856,12.13671875,57,-1
26516,12.947265625,20,-1
26721,13.04736328125,21,-1
27477,13.41650390625,100,-1
29451,14.38037109375,1,-1
30963,15.11865234375,57,-1
32623,15.92919921875,20,-1
32828,16.029296875,21,-1
33718,16.4638671875,100,-1
35808,17.484375,1,-1
37316,18.220703125,57,-1
38976,19.03125,10,-1
39181,19.13134765625,11,-1
40014,19.5380859375,100,-1
42362,20.6845703125,1,-1
43873,21.42236328125,57,-1
45533,22.23291015625,10,-1
45738,22.3330078125,12,-1
46660,22.783203125,200,-1
48833,23.84423828125,2,-1
48853,23.85400390625,255,-1
65314,31.8916015625,254,-1
70944,34.640625,57,-1
72604,35.451171875,10,-1
72809,35.55126953125,12,-1
73622,35.9482421875,200,-1
75440,36.8359375,1,-1
76948,37.572265625,57,-1
78608,38.3828125,20,-1
78813,38.48291015625,22,-1
79530,38.8330078125,200,-1
81075,39.58740234375,1,-1
82604,40.333984375,57,-1
84264,41.14453125,10,-1
84469,41.24462890625,11,-1
85352,41.67578125,100,-1
87367,42.65966796875,2,-1
88875,43.39599609375,57,-1
90534,44.2060546875,20,-1
90739,44.30615234375,22,-1
91610,44.7314453125,200,-1
93904,45.8515625,2,-1
95412,46.587890625,57,-1
97071,47.39794921875,10,-1
97276,47.498046875,11,-1
97914,47.8095703125,100,-1
99834,48.7470703125,1,-1
101354,49.4892578125,57,-1
103014,50.2998046875,20,-1
103219,50.39990234375,21,-1
104069,50.81494140625,100,-1
105831,51.67529296875,1,-1
107359,52.42138671875,57,-1
109019,53.23193359375,20,-1
109223,53.33154296875,22,-1
110086,53.7529296875,200,-1
112073,54.72314453125,1,-1
113588,55.462890625,57,-1
115248,56.2734375,20,-1
115453,56.37353515625,21,-1
116168,56.72265625,100,-1
